epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1016,0.56546,0.88889,1.06885,0.90825,0.83783,0.91081,0.82127,0.4502,0.58333,0.97177,0.07672,0.00072,0.00072
2,18.6317,0.55905,0.86795,1.06585,0.93564,0.82858,0.9096,0.82322,0.45474,0.60611,0.9709,0.0524553,0.00145531,0.00145531
3,25.639,0.56805,0.8641,1.06842,0.8887,0.85302,0.91336,0.82677,0.47036,0.5978,0.97049,0.0281756,0.00217562,0.00217562
4,32.5292,0.58264,0.87513,1.06886,0.89357,0.84141,0.91281,0.8148,0.49852,0.63713,0.98962,0.00388094,0.00288094,0.00288094
5,39.4869,0.58849,0.88335,1.06933,0.87698,0.82853,0.89906,0.80794,0.48877,0.65945,0.98085,0.00288006,0.00288006,0.00288006
6,46.3323,0.58404,0.86996,1.06979,0.87583,0.82303,0.8903,0.79507,0.52013,0.68319,0.99637,0.00285008,0.00285008,0.00285008
7,53.3171,0.58238,0.87097,1.06689,0.9031,0.81066,0.90284,0.81025,0.51173,0.65688,0.98918,0.00282009,0.00282009,0.00282009
8,60.2964,0.58849,0.88471,1.07207,0.90142,0.83527,0.90654,0.81339,0.48668,0.64476,0.97592,0.0027901,0.0027901,0.0027901
9,67.1326,0.5718,0.84489,1.05809,0.89321,0.85956,0.91323,0.81425,0.49138,0.61536,0.97813,0.00276012,0.00276012,0.00276012
10,74.0542,0.57726,0.85725,1.06672,0.90086,0.84073,0.90973,0.81533,0.48084,0.64136,0.97316,0.00273013,0.00273013,0.00273013
11,80.9585,0.5737,0.84731,1.05842,0.8986,0.82474,0.91233,0.82381,0.45983,0.62848,0.96034,0.00270015,0.00270015,0.00270015
12,87.8279,0.55953,0.82252,1.04977,0.92138,0.82519,0.9184,0.83057,0.47193,0.61977,0.96902,0.00267017,0.00267017,0.00267017
13,94.7613,0.55906,0.82558,1.05416,0.91286,0.845,0.91876,0.83132,0.46864,0.58891,0.96752,0.00264018,0.00264018,0.00264018
14,101.73,0.56154,0.83619,1.05669,0.89684,0.82978,0.90916,0.81409,0.49946,0.6217,0.9897,0.0026102,0.0026102,0.0026102
15,108.627,0.55878,0.84605,1.05589,0.90987,0.85424,0.92506,0.83144,0.47399,0.60157,0.97673,0.00258021,0.00258021,0.00258021
16,115.551,0.55099,0.81114,1.04689,0.90944,0.84983,0.91787,0.82495,0.45749,0.58309,0.95689,0.00255023,0.00255023,0.00255023
17,122.543,0.55779,0.80764,1.057,0.9094,0.838,0.91884,0.83372,0.46799,0.59601,0.96109,0.00252024,0.00252024,0.00252024
18,129.384,0.54642,0.81287,1.046,0.90454,0.85855,0.92154,0.83437,0.45354,0.58163,0.95447,0.00249025,0.00249025,0.00249025
19,136.341,0.54362,0.78978,1.0406,0.89309,0.85855,0.91873,0.83414,0.4491,0.58905,0.95292,0.00246027,0.00246027,0.00246027
20,143.16,0.54259,0.79921,1.04869,0.92094,0.82991,0.92167,0.83414,0.46285,0.59244,0.97208,0.00243028,0.00243028,0.00243028
21,150.018,0.54024,0.79455,1.04632,0.91266,0.85878,0.92801,0.83568,0.46954,0.56531,0.97144,0.0024003,0.0024003,0.0024003
22,156.998,0.53501,0.7853,1.04565,0.9313,0.87009,0.92922,0.84551,0.45202,0.57729,0.95835,0.00237032,0.00237032,0.00237032
23,163.85,0.53939,0.79087,1.04162,0.91493,0.86031,0.92147,0.83491,0.46477,0.57175,0.96042,0.00234033,0.00234033,0.00234033
24,170.897,0.52081,0.76033,1.02952,0.92302,0.85163,0.92302,0.83863,0.45539,0.55865,0.96113,0.00231035,0.00231035,0.00231035
25,177.796,0.53373,0.77566,1.04231,0.9273,0.86024,0.92427,0.84083,0.44866,0.56114,0.95759,0.00228036,0.00228036,0.00228036
26,184.772,0.53479,0.78028,1.03727,0.92247,0.85995,0.92678,0.84131,0.45916,0.57108,0.95869,0.00225037,0.00225037,0.00225037
27,191.682,0.52787,0.77396,1.03911,0.92108,0.842,0.92086,0.83268,0.45745,0.56714,0.96027,0.00222039,0.00222039,0.00222039
28,198.477,0.53089,0.78257,1.04373,0.87073,0.88312,0.92491,0.84015,0.44611,0.56908,0.94477,0.0021904,0.0021904,0.0021904
29,205.41,0.52044,0.75367,1.03041,0.90649,0.85432,0.92505,0.8447,0.44213,0.55947,0.94998,0.00216042,0.00216042,0.00216042
30,212.28,0.52124,0.75217,1.03138,0.91345,0.8761,0.92853,0.84183,0.44336,0.54997,0.95329,0.00213043,0.00213043,0.00213043
31,219.232,0.50685,0.73413,1.02184,0.88466,0.87393,0.92522,0.84183,0.45541,0.5722,0.9601,0.00210045,0.00210045,0.00210045
32,226.15,0.52,0.76062,1.03298,0.91851,0.87582,0.92827,0.84155,0.42997,0.54155,0.94292,0.00207047,0.00207047,0.00207047
