epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0299,0.56978,0.96709,1.07188,0.90984,0.85292,0.91947,0.85217,0.35716,0.52205,0.89996,0.0683133,0.00098,0.00098
2,21.8897,0.53284,0.84875,1.0384,0.92668,0.84423,0.92528,0.85797,0.36801,0.51816,0.90408,0.0359404,0.00194042,0.00194042
3,30.1297,0.55326,0.83644,1.04886,0.92408,0.85026,0.91374,0.83252,0.41154,0.56962,0.92181,0.00352753,0.00286086,0.00286086
4,38.1341,0.57692,0.86626,1.06596,0.9296,0.86033,0.92806,0.84911,0.41162,0.54367,0.92634,0.00282009,0.00282009,0.00282009
5,46.0328,0.56045,0.84917,1.04838,0.91619,0.85165,0.92559,0.85101,0.40966,0.56926,0.91837,0.00276012,0.00276012,0.00276012
6,53.9881,0.56217,0.84956,1.05289,0.92926,0.83555,0.9202,0.84817,0.39691,0.56032,0.91545,0.00270015,0.00270015,0.00270015
7,62.0541,0.55664,0.8364,1.04953,0.90942,0.84963,0.92343,0.85155,0.41021,0.54395,0.91648,0.00264018,0.00264018,0.00264018
8,69.9711,0.55314,0.82243,1.04762,0.93247,0.84754,0.92565,0.85437,0.39581,0.54853,0.91783,0.00258021,0.00258021,0.00258021
9,77.9093,0.54156,0.80768,1.03999,0.90557,0.86291,0.92497,0.8512,0.39709,0.55237,0.91358,0.00252024,0.00252024,0.00252024
10,86.012,0.54625,0.82354,1.04262,0.89725,0.86099,0.9203,0.84855,0.38882,0.54827,0.91558,0.00246027,0.00246027,0.00246027
11,94.0742,0.54372,0.80011,1.0385,0.91242,0.86296,0.92828,0.85261,0.3948,0.52748,0.91205,0.0024003,0.0024003,0.0024003
12,102.077,0.53757,0.8059,1.04052,0.9166,0.85059,0.92764,0.85395,0.39231,0.54544,0.9218,0.00234033,0.00234033,0.00234033
