epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,148.597,0.48149,0.77871,0.9937,0.8524,0.87168,0.91934,0.86008,0.39271,0.58456,0.89975,0.0018006,0.0018006,0.0018006
22,155.544,0.47196,0.75093,0.99058,0.88488,0.85239,0.9242,0.86268,0.39875,0.60202,0.89932,0.00174063,0.00174063,0.00174063
23,162.253,0.46956,0.74965,0.99659,0.91226,0.85397,0.92897,0.86951,0.39535,0.56756,0.89957,0.00168066,0.00168066,0.00168066
24,169.071,0.47162,0.75545,0.99172,0.9388,0.84592,0.93753,0.87825,0.38943,0.5376,0.89626,0.00162069,0.00162069,0.00162069
25,175.789,0.4523,0.70333,0.97567,0.90825,0.8427,0.90937,0.84613,0.39975,0.61758,0.91068,0.00156072,0.00156072,0.00156072
26,182.562,0.44661,0.72113,0.97221,0.88072,0.88663,0.92371,0.86252,0.39563,0.56935,0.89859,0.00150075,0.00150075,0.00150075
27,189.253,0.45891,0.70783,0.9839,0.8623,0.89696,0.94314,0.87653,0.38583,0.53713,0.90589,0.00144078,0.00144078,0.00144078
28,196.016,0.45468,0.71416,0.98317,0.90663,0.86475,0.93122,0.87329,0.3876,0.54136,0.89395,0.00138081,0.00138081,0.00138081
29,202.758,0.43628,0.69721,0.96653,0.91561,0.8748,0.93283,0.87166,0.3794,0.52825,0.89189,0.00132084,0.00132084,0.00132084
30,209.446,0.43941,0.68695,0.97121,0.90461,0.86804,0.94033,0.88025,0.36729,0.51863,0.88922,0.00126087,0.00126087,0.00126087
31,216.289,0.42728,0.66712,0.9645,0.92486,0.83734,0.92788,0.87435,0.36211,0.53393,0.88949,0.0012009,0.0012009,0.0012009
32,222.967,0.42773,0.68007,0.96026,0.87963,0.87682,0.9313,0.87731,0.35731,0.53353,0.88726,0.00114093,0.00114093,0.00114093
33,229.742,0.42693,0.67822,0.96899,0.90455,0.87332,0.9348,0.87619,0.35077,0.52879,0.87684,0.00108096,0.00108096,0.00108096
34,236.497,0.42527,0.67486,0.97254,0.90403,0.88314,0.94041,0.88704,0.34307,0.49184,0.87669,0.00102099,0.00102099,0.00102099
35,243.286,0.41549,0.65651,0.96005,0.90057,0.90705,0.94132,0.88496,0.34458,0.50165,0.8796,0.00096102,0.00096102,0.00096102
36,249.927,0.40573,0.64051,0.95337,0.90517,0.88795,0.94605,0.8925,0.34022,0.47461,0.87714,0.00090105,0.00090105,0.00090105
37,256.617,0.40616,0.63852,0.96169,0.89314,0.90487,0.94679,0.89584,0.34296,0.46492,0.87166,0.00084108,0.00084108,0.00084108
38,263.602,0.40548,0.64398,0.95559,0.91651,0.86941,0.94455,0.88806,0.33925,0.45765,0.86861,0.00078111,0.00078111,0.00078111
39,270.257,0.40615,0.62502,0.9627,0.89654,0.89785,0.94499,0.89007,0.34416,0.4749,0.87478,0.00072114,0.00072114,0.00072114
40,277.046,0.40304,0.61131,0.95465,0.95564,0.84591,0.94575,0.89287,0.32811,0.44765,0.8674,0.00066117,0.00066117,0.00066117
41,286.143,0.3201,0.52174,0.91211,0.93704,0.87971,0.94157,0.8877,0.33628,0.49677,0.86344,0.0006012,0.0006012,0.0006012
42,292.968,0.31773,0.50537,0.90975,0.93207,0.89785,0.95101,0.89614,0.32964,0.44114,0.86579,0.00054123,0.00054123,0.00054123
43,299.67,0.30283,0.48289,0.9031,0.93754,0.8824,0.94708,0.88917,0.33885,0.45953,0.86362,0.00048126,0.00048126,0.00048126
44,306.177,0.3048,0.4716,0.90271,0.92466,0.90569,0.95008,0.8947,0.33747,0.45509,0.86829,0.00042129,0.00042129,0.00042129
45,312.883,0.30413,0.47169,0.90763,0.92733,0.8996,0.94921,0.8944,0.32351,0.44355,0.85919,0.00036132,0.00036132,0.00036132
46,319.424,0.30361,0.47607,0.9049,0.94213,0.87375,0.94336,0.88919,0.32513,0.45637,0.86262,0.00030135,0.00030135,0.00030135
47,326.078,0.29294,0.46255,0.9022,0.94597,0.88353,0.9485,0.89673,0.32511,0.43498,0.8676,0.00024138,0.00024138,0.00024138
48,332.715,0.28685,0.45415,0.89631,0.93991,0.88523,0.94689,0.89104,0.33173,0.44392,0.86724,0.00018141,0.00018141,0.00018141
49,339.321,0.28304,0.45231,0.89622,0.91546,0.90937,0.94959,0.89314,0.3217,0.43698,0.86287,0.00012144,0.00012144,0.00012144
50,345.975,0.27435,0.4352,0.88837,0.93168,0.89556,0.94967,0.89367,0.32186,0.43782,0.86296,6.147e-05,6.147e-05,6.147e-05
