epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5639,0.57852,1.1564,1.08247,0.8715,0.85858,0.89311,0.8325,0.40688,0.62996,0.91627,0.07672,0.00072,0.00072
2,19.3284,0.5306,0.94459,1.04287,0.89512,0.83584,0.90191,0.84204,0.4027,0.63389,0.91349,0.0524406,0.00144061,0.00144061
3,26.2515,0.52147,0.90173,1.03048,0.84461,0.83413,0.89462,0.8308,0.41744,0.68007,0.9251,0.0281312,0.00213124,0.00213124
4,33.0451,0.53392,0.92537,1.024,0.84449,0.81742,0.88413,0.81232,0.45927,0.71742,0.92814,0.00379189,0.00279189,0.00279189
5,39.7602,0.55099,0.93312,1.03138,0.86993,0.79262,0.88445,0.80726,0.47869,0.74471,0.93603,0.00276012,0.00276012,0.00276012
6,46.6461,0.54921,0.9334,1.02368,0.83801,0.8241,0.8754,0.79638,0.46195,0.7625,0.93006,0.00270015,0.00270015,0.00270015
7,53.4414,0.54457,0.92525,1.03013,0.86798,0.81582,0.88708,0.81496,0.45399,0.74791,0.93846,0.00264018,0.00264018,0.00264018
8,60.1993,0.54855,0.90838,1.02782,0.863,0.83005,0.88875,0.81174,0.45003,0.68733,0.93291,0.00258021,0.00258021,0.00258021
9,66.929,0.51983,0.85782,1.0051,0.82603,0.84886,0.89391,0.81954,0.42186,0.68077,0.91637,0.00252024,0.00252024,0.00252024
10,73.8369,0.52879,0.84857,1.01379,0.87812,0.84308,0.90023,0.83535,0.44065,0.70207,0.92022,0.00246027,0.00246027,0.00246027
11,80.7134,0.51211,0.84627,1.0059,0.89823,0.86585,0.92023,0.84954,0.4123,0.64523,0.90477,0.0024003,0.0024003,0.0024003
12,87.5934,0.51156,0.84261,1.01296,0.89886,0.82243,0.91942,0.84793,0.42752,0.64179,0.92426,0.00234033,0.00234033,0.00234033
13,94.4021,0.52767,0.85454,1.02621,0.9434,0.80694,0.9324,0.85847,0.42754,0.60805,0.91359,0.00228036,0.00228036,0.00228036
14,101.154,0.51263,0.81481,1.00511,0.9372,0.83678,0.92649,0.86424,0.40422,0.58467,0.90306,0.00222039,0.00222039,0.00222039
15,107.946,0.51706,0.81898,1.01233,0.83547,0.8732,0.9137,0.84634,0.43404,0.63768,0.92448,0.00216042,0.00216042,0.00216042
16,114.706,0.50387,0.80746,1.00415,0.90107,0.87061,0.92523,0.85544,0.42541,0.59135,0.90363,0.00210045,0.00210045,0.00210045
17,121.574,0.48897,0.7892,0.99772,0.90337,0.85531,0.92303,0.85889,0.39646,0.58056,0.88685,0.00204048,0.00204048,0.00204048
18,128.3,0.48568,0.77946,0.98969,0.89816,0.87276,0.93519,0.87336,0.39858,0.54455,0.90029,0.00198051,0.00198051,0.00198051
19,134.998,0.47892,0.75936,0.98195,0.93372,0.85209,0.93172,0.86711,0.38844,0.55368,0.89328,0.00192054,0.00192054,0.00192054
20,141.747,0.47508,0.75782,0.99385,0.84909,0.87766,0.92585,0.86077,0.38751,0.57641,0.9019,0.00186057,0.00186057,0.00186057
